Wall time,Step,Value
1666219326.948027,0,17.0
1666219327.146303,1,9.0
1666219327.468244,2,15.0
1666219328.474469,3,49.0
1666219329.017812,4,26.0
1666219329.27892,5,12.0
1666219329.9598,6,33.0
1666219330.499485,7,26.0
1666219331.122393,8,30.0
1666219331.422538,9,14.0
1666219331.78216,10,17.0
1666219332.062841,11,13.0
1666219332.263509,12,9.0
1666219332.64511,13,18.0
1666219332.943674,14,14.0
1666219333.264346,15,15.0
1666219333.583688,16,15.0
1666219333.884922,17,14.0
1666219334.627726,18,36.0
1666219334.847809,19,10.0
1666219335.188098,20,16.0
1666219335.471757,21,13.0
1666219335.711969,22,11.0
1666219335.9518,23,11.0
1666219336.292604,24,16.0
1666219336.614884,25,15.0
1666219337.078936,26,22.0
1666219337.321894,27,11.0
1666219337.783309,28,22.0
1666219338.163891,29,18.0
1666219338.546497,30,18.0
1666219338.766924,31,10.0
1666219339.167203,32,19.0
1666219339.388564,33,10.0
1666219339.670262,34,13.0
1666219339.949706,35,13.0
1666219340.170261,36,10.0
1666219340.4734,37,14.0
1666219340.753716,38,13.0
1666219341.436886,39,33.0
1666219341.816988,40,18.0
1666219342.259692,41,21.0
1666219342.597692,42,16.0
1666219343.041061,43,21.0
1666219343.360923,44,15.0
1666219343.663761,45,14.0
1666219343.90371,46,11.0
1666219344.527047,47,30.0
1666219344.849095,48,15.0
1666219345.091733,49,11.0
1666219345.312035,50,10.0
1666219345.572758,51,12.0
1666219345.812992,52,11.0
1666219346.13538,53,15.0
1666219346.435879,54,14.0
1666219346.676627,55,11.0
1666219346.959274,56,13.0
1666219347.139971,57,8.0
1666219347.420401,58,13.0
1666219347.744465,59,15.0
1666219348.018866,60,11.0
1666219348.258334,61,11.0
1666219348.481076,62,10.0
1666219348.762001,63,13.0
1666219349.004507,64,11.0
1666219349.29798,65,13.0
1666219349.61417,66,15.0
1666219349.854109,67,11.0
1666219350.193052,68,16.0
1666219350.453355,69,12.0
1666219350.736685,70,13.0
1666219350.938386,71,9.0
1666219351.21974,72,13.0
1666219351.602181,73,15.0
1666219351.80269,74,9.0
1666219352.124504,75,15.0
1666219352.344465,76,10.0
1666219352.566352,77,10.0
1666219352.787647,78,10.0
1666219353.007673,79,10.0
1666219353.230195,80,10.0
1666219353.451002,81,10.0
1666219353.712261,82,12.0
1666219353.931836,83,10.0
1666219354.133688,84,9.0
1666219354.376777,85,11.0
1666219354.6976,86,15.0
1666219354.959905,87,12.0
1666219355.22005,88,12.0
1666219355.504809,89,13.0
1666219355.745182,90,11.0
1666219355.945397,91,9.0
1666219356.22618,92,13.0
1666219356.537696,93,14.0
1666219356.731697,94,9.0
1666219357.055535,95,15.0
1666219357.356123,96,14.0
