Wall time,Step,Value
1666220258.619593,0,23.0
1666220259.259724,1,31.0
1666220259.760705,2,24.0
1666220260.022653,3,12.0
1666220260.545043,4,25.0
1666220260.805062,5,12.0
1666220261.046864,6,11.0
1666220261.48634,7,21.0
1666220261.767471,8,13.0
1666220262.412288,9,31.0
1666220262.911369,10,24.0
1666220263.653678,11,36.0
1666220263.914376,12,12.0
1666220264.336859,13,20.0
1666220264.596302,14,12.0
1666220264.917881,15,15.0
1666220265.238743,16,15.0
1666220265.660073,17,20.0
1666220266.342256,18,33.0
1666220266.781805,19,21.0
1666220267.887378,20,54.0
1666220268.514267,21,30.0
1666220269.098576,22,28.0
1666220269.643685,23,26.0
1666220270.187018,24,26.0
1666220270.510735,25,15.0
1666220271.092429,26,28.0
1666220271.5545,27,22.0
1666220272.156683,28,29.0
1666220272.817272,29,32.0
1666220273.079642,30,12.0
1666220273.359217,31,13.0
1666220273.74014,32,18.0
1666220274.361312,33,30.0
1666220275.08373,34,35.0
1666220275.746388,35,32.0
1666220275.96515,36,10.0
1666220276.344912,37,18.0
1666220276.550075,38,9.0
1666220277.009458,39,22.0
1666220277.452335,40,21.0
1666220277.855608,41,19.0
1666220278.299249,42,21.0
1666220278.861862,43,27.0
1666220279.12417,44,12.0
1666220279.988132,45,16.0
1666220280.434974,46,22.0
1666220281.038557,47,29.0
1666220281.419395,48,18.0
1666220281.8214,49,19.0
1666220282.041883,50,10.0
1666220282.38298,51,16.0
1666220283.364733,52,48.0
1666220283.824678,53,22.0
1666220284.645179,54,40.0
1666220285.368592,55,35.0
1666220285.829373,56,22.0
1666220286.368229,57,26.0
1666220286.930919,58,27.0
1666220287.374106,59,21.0
1666220287.676971,60,14.0
1666220288.017548,61,16.0
1666220289.36189,62,66.0
1666220289.641788,63,13.0
1666220290.122403,64,23.0
1666220291.285587,65,57.0
1666220292.02805,66,36.0
1666220292.349272,67,15.0
1666220292.795237,68,21.0
1666220293.094723,69,14.0
1666220293.962059,70,42.0
1666220294.363546,71,19.0
1666220294.683933,72,15.0
1666220295.346935,73,32.0
1666220295.587638,74,11.0
1666220296.527881,75,46.0
1666220296.929264,76,19.0
1666220297.149519,77,10.0
1666220297.472759,78,15.0
1666220298.799281,79,65.0
1666220299.258409,80,22.0
1666220299.962737,81,34.0
1666220301.289014,82,45.0
1666220301.592994,83,15.0
1666220302.678332,84,53.0
1666220303.058752,85,18.0
1666220303.638882,86,28.0
1666220304.905078,87,62.0
1666220305.386186,88,23.0
1666220305.788878,89,19.0
1666220306.048234,90,12.0
1666220306.512761,91,22.0
1666220306.974412,92,22.0
1666220307.436205,93,22.0
1666220307.941991,94,24.0
1666220308.462903,95,25.0
1666220308.864136,96,19.0
1666220309.203608,97,16.0
1666220309.683512,98,23.0
1666220310.724911,99,51.0
1666220311.126553,100,19.0
1666220311.689368,101,27.0
1666220312.034802,102,16.0
1666220312.693251,103,32.0
1666220313.073996,104,18.0
1666220313.819019,105,36.0
1666220314.078426,106,12.0
1666220314.399463,107,15.0
1666220314.78052,108,18.0
1666220315.28504,109,24.0
1666220315.825614,110,26.0
1666220316.889105,111,52.0
1666220318.013116,112,55.0
1666220318.535564,113,25.0
1666220318.85792,114,15.0
1666220319.159576,115,14.0
1666220320.2419,116,53.0
1666220320.561599,117,15.0
1666220320.902446,118,16.0
1666220321.484437,119,28.0
1666220322.646299,120,39.0
1666220323.515106,121,43.0
1666220324.158971,122,31.0
