Wall time,Step,Value
1666215637.596237,0,17.0
1666215638.13373,1,26.0
1666215638.395199,2,12.0
1666215639.000291,3,29.0
1666215639.84666,4,41.0
1666215640.084142,5,11.0
1666215640.28613,6,9.0
1666215640.686965,7,19.0
1666215641.048311,8,17.0
1666215642.011977,9,47.0
1666215642.295878,10,13.0
1666215643.010815,11,34.0
1666215643.450941,12,21.0
1666215643.712908,13,12.0
1666215644.698247,14,48.0
1666215645.686308,15,48.0
1666215646.386474,16,34.0
1666215646.686857,17,14.0
1666215647.226129,18,26.0
1666215647.527315,19,14.0
1666215647.770913,20,11.0
1666215648.313145,21,26.0
1666215649.32091,22,49.0
1666215649.522016,23,9.0
1666215650.10437,24,28.0
1666215650.606921,25,24.0
1666215650.927209,26,15.0
1666215651.84918,27,45.0
1666215652.150632,28,14.0
1666215652.452051,29,14.0
1666215653.216232,30,37.0
1666215653.838416,31,30.0
1666215654.179897,32,16.0
1666215654.742316,33,27.0
1666215655.80715,34,52.0
1666215656.346374,35,26.0
1666215656.9492,36,29.0
1666215657.25142,37,14.0
1666215658.051281,38,39.0
1666215659.203815,39,36.0
1666215659.406659,40,10.0
1666215659.846164,41,21.0
1666215660.268634,42,20.0
1666215660.697364,43,20.0
1666215660.936185,44,11.0
1666215661.540341,45,29.0
1666215662.300979,46,37.0
1666215663.548635,47,61.0
1666215663.946748,48,19.0
1666215664.429651,49,23.0
1666215664.869809,50,21.0
1666215665.19257,51,15.0
1666215665.71438,52,25.0
1666215666.558835,53,41.0
1666215666.821234,54,12.0
1666215667.182988,55,17.0
1666215667.52659,56,16.0
1666215667.826585,57,14.0
1666215668.430762,58,29.0
1666215669.55532,59,55.0
1666215669.978431,60,20.0
1666215670.503659,61,25.0
1666215670.823786,62,15.0
1666215671.124836,63,14.0
1666215671.965369,64,41.0
1666215672.771478,65,39.0
1666215673.391866,66,30.0
1666215673.735122,67,16.0
1666215673.954163,68,10.0
1666215674.516691,69,27.0
1666215674.956051,70,21.0
1666215675.362195,71,19.0
1666215676.10553,72,36.0
1666215677.237099,73,55.0
1666215677.582646,74,16.0
1666215678.368483,75,38.0
1666215678.949653,76,28.0
1666215679.510571,77,27.0
1666215679.81194,78,14.0
1666215680.05294,79,11.0
1666215681.047596,80,31.0
1666215681.57184,81,26.0
1666215681.93259,82,17.0
1666215683.239788,83,64.0
1666215683.501099,84,12.0
1666215683.966439,85,22.0
1666215684.691404,86,35.0
1666215685.15697,87,22.0
1666215685.439525,88,13.0
1666215685.84181,89,19.0
1666215686.02332,90,8.0
1666215687.087219,91,52.0
1666215687.347863,92,12.0
1666215687.688545,93,16.0
1666215688.191204,94,24.0
1666215688.842973,95,31.0
1666215690.330343,96,73.0
1666215690.791096,97,22.0
1666215691.033629,98,11.0
1666215692.101231,99,52.0
1666215692.502401,100,19.0
1666215692.887503,101,18.0
1666215693.369775,102,22.0
1666215693.937565,103,27.0
1666215694.277546,104,16.0
1666215694.869585,105,28.0
1666215695.575102,106,34.0
1666215696.979005,107,69.0
1666215697.662248,108,33.0
1666215698.322538,109,32.0
1666215699.788976,110,72.0
1666215700.909483,111,55.0
1666215701.250542,112,16.0
1666215702.42085,113,40.0
1666215703.787027,114,68.0
1666215704.00701,115,10.0
1666215706.386741,116,116.0
1666215707.128351,117,36.0
1666215707.939858,118,39.0
1666215708.523502,119,28.0
1666215709.831467,120,64.0
1666215711.245482,121,69.0
1666215711.947897,122,34.0
1666215712.333308,123,18.0
1666215714.205893,124,92.0
1666215714.947613,125,36.0
1666215716.372951,126,70.0
1666215716.83543,127,22.0
1666215717.518965,128,33.0
1666215718.200872,129,33.0
1666215719.042437,130,41.0
1666215719.344095,131,14.0
1666215719.897532,132,26.0
