Wall time,Step,Value
1665546006.531303,0,-309.7639465332031
1665546010.082575,1,-245.5452880859375
1665546013.079333,2,-373.0584411621094
1665546016.978147,3,-131.7564239501953
1665546021.709442,4,-265.44061279296875
1665546024.853119,5,-79.46005249023438
1665546027.006582,6,-150.3195343017578
1665546031.054491,7,-244.6240234375
1665546035.934059,8,-132.20301818847656
1665546039.731474,9,-415.9172058105469
1665546042.691156,10,-303.8438415527344
1665546045.799894,11,-216.5655517578125
1665546049.533272,12,-67.56427001953125
1665546055.072446,13,-347.2368469238281
1665546059.070885,14,-261.61517333984375
1665546061.583239,15,-91.71714782714844
1665546064.341938,16,-100.19066619873047
1665546068.51073,17,-280.120361328125
1665546071.972832,18,15.765583038330078
1665546076.121999,19,-76.48506927490234
1665546078.615123,20,-28.321542739868164
1665546082.08782,21,-342.4317626953125
1665546084.368235,22,-65.41381072998047
1665546087.27341,23,-324.89422607421875
1665546089.930196,24,-275.5403137207031
1665546093.252076,25,-372.1217041015625
1665546096.294049,26,-252.62535095214844
1665546099.657625,27,-226.05435180664062
1665546103.417591,28,-256.3316345214844
1665546108.56218,29,-289.9415283203125
1665546111.336464,30,-319.5216064453125
1665546115.155605,31,-291.78179931640625
1665546117.78483,32,-49.780609130859375
1665546121.890302,33,-286.12451171875
1665546125.143406,34,-130.00518798828125
1665546128.696159,35,-423.9293518066406
1665546132.410856,36,-123.78290557861328
1665546137.078373,37,-80.29472351074219
1665546140.332532,38,-175.1177978515625
1665546144.401609,39,-279.3598327636719
1665546147.533558,40,-276.7642822265625
1665546151.523592,41,-143.177978515625
1665546155.740556,42,-175.93084716796875
1665546158.785568,43,-309.3661804199219
1665546162.453713,44,-280.33087158203125
1665546164.802797,45,-98.99163055419922
1665546167.524273,46,-108.60218048095703
1665546172.687155,47,-324.2404479980469
1665546176.266297,48,-122.74988555908203
1665546178.880815,49,-107.17613220214844
1665546181.697854,50,-105.96121978759766
1665546185.771447,51,-217.8192901611328
1665546189.15511,52,-130.625732421875
1665546192.277882,53,-161.59732055664062
1665546195.472361,54,-401.568603515625
1665546200.16445,55,-63.72346115112305
1665546203.403499,56,-155.44390869140625
1665546207.182239,57,-287.740234375
1665546210.163172,58,-424.6659851074219
1665546214.273692,59,-17.46625328063965
1665546218.539456,60,-307.27227783203125
1665546222.982465,61,-120.5524673461914
1665546225.911994,62,-100.63761138916016
1665546231.626674,63,-473.77178955078125
1665546234.683643,64,-68.39305877685547
1665546240.398209,65,-488.022705078125
1665546244.066462,66,-144.65708923339844
1665546246.886377,67,-36.724884033203125
1665546249.620422,68,-78.7321548461914
1665546252.109154,69,-57.62019729614258
1665546255.112999,70,-67.38518524169922
1665546257.954541,71,-398.44482421875
1665546261.979627,72,-536.109619140625
1665546265.766074,73,-306.5314636230469
1665546269.638406,74,-355.010498046875
1665546274.314457,75,-96.20764923095703
1665546277.487991,76,-388.6813659667969
1665546280.65573,77,-49.742271423339844
1665546287.371036,78,-332.22528076171875
1665546291.555937,79,-211.73361206054688
1665546294.678163,80,-436.1219787597656
1665546298.243332,81,-421.4146423339844
1665546304.53384,82,-210.5482940673828
1665546307.211059,83,-154.88214111328125
1665546311.181854,84,-108.56861877441406
1665546314.692107,85,-239.2959747314453
1665546319.297635,86,-328.539794921875
1665546323.806576,87,-445.7787170410156
1665546326.813127,88,-290.4069519042969
1665546330.966413,89,-281.1600036621094
1665546334.70507,90,-246.3843231201172
1665546344.69104,91,28.842226028442383
1665546362.483293,92,84.61103820800781
1665546380.339572,93,34.14215087890625
1665546390.351087,94,15.494267463684082
1665546405.771843,95,-34.94797897338867
1665546423.512973,96,1.5016818046569824
1665546441.410199,97,-11.099648475646973
1665546458.927388,98,19.729122161865234
1665546476.724125,99,75.38499450683594
1665546494.63103,100,8.278571128845215
1665546512.358644,101,18.73906707763672
1665546530.216819,102,84.06871795654297
1665546548.019758,103,30.117586135864258
1665546565.853831,104,80.83584594726562
1665546583.649237,105,90.91061401367188
1665546601.364946,106,69.06156158447266
1665546620.560784,107,65.21613311767578
1665546625.572235,108,79.49068450927734
1665546640.555329,109,-204.8227081298828
1665546659.351179,110,47.89333724975586
1665546677.720303,111,33.75178146362305
1665546695.641857,112,12.75693130493164
1665546713.559904,113,5.217772006988525
1665546731.20974,114,16.869686126708984
1665546749.444533,115,15.752434730529785
1665546767.35574,116,-71.64727783203125
1665546785.532272,117,-54.28141784667969
1665546803.452526,118,-64.03684997558594
1665546821.317828,119,-25.854110717773438
1665546839.710313,120,-65.11746978759766
1665546857.60303,121,10.128561973571777
1665546875.515876,122,-36.715354919433594
1665546882.786277,123,44.45940399169922
1665546900.762075,124,11.419373512268066
1665546919.01906,125,-25.940690994262695
1665546937.021449,126,34.21725845336914
1665546954.928033,127,12.991921424865723
1665546972.631615,128,36.36228561401367
1665546990.534156,129,42.448429107666016
1665547008.482801,130,64.73847198486328
1665547026.441128,131,90.20674896240234
1665547044.491504,132,68.51696014404297
1665547056.412141,133,43.52678680419922
1665547068.711529,134,-28.727380752563477
1665547080.724584,135,33.85915756225586
1665547089.915383,136,-8.522180557250977
1665547099.094825,137,-5.887290000915527
1665547108.554988,138,3.757835865020752
1665547117.666592,139,-32.605167388916016
1665547125.637514,140,36.11581802368164
1665547135.04752,141,-4.047306060791016
1665547153.105239,142,129.3621063232422
1665547161.798486,143,-18.36886978149414
1665547179.771648,144,114.86540222167969
1665547187.295568,145,-12.262076377868652
1665547195.543895,146,1.465990662574768
1665547203.744296,147,-21.096656799316406
1665547210.224312,148,0.4658110439777374
1665547216.524006,149,-7.815917491912842
1665547223.550338,150,-2.0102760791778564
1665547227.426534,151,-36.086273193359375
1665547232.705696,152,-40.09861373901367
1665547237.280795,153,-35.99869918823242
1665547244.073758,154,-39.134517669677734
1665547251.410416,155,1.483080506324768
1665547256.863847,156,-39.347320556640625
1665547262.430327,157,19.430892944335938
1665547269.321388,158,16.433181762695312
1665547274.964464,159,-2.875152587890625
1665547280.077821,160,10.16254997253418
1665547286.974628,161,10.632658004760742
1665547292.195484,162,-47.728641510009766
1665547296.863872,163,-28.39369010925293
1665547302.574245,164,-32.030494689941406
1665547308.028393,165,-26.620773315429688
1665547313.946841,166,32.882442474365234
1665547319.880629,167,-12.322432518005371
1665547324.615556,168,-53.588871002197266
1665547329.659029,169,-13.829024314880371
1665547336.242174,170,-47.75278091430664
1665547341.820363,171,-6.601332664489746
1665547347.041373,172,10.236223220825195
1665547353.143207,173,28.328954696655273
1665547357.681803,174,26.874120712280273
1665547363.806458,175,-5.992213249206543
1665547369.714905,176,12.514551162719727
1665547373.682644,177,-23.358068466186523
1665547379.212087,178,68.086669921875
1665547384.083545,179,11.532588005065918
1665547389.42749,180,7.046367645263672
1665547395.348667,181,46.92085647583008
1665547400.10509,182,-22.02984619140625
1665547404.915551,183,4.141430854797363
1665547410.78773,184,7.52815580368042
1665547415.50498,185,-43.07303237915039
1665547420.00145,186,13.111806869506836
1665547425.133862,187,-14.614349365234375
1665547431.12033,188,42.813175201416016
