Wall time,Step,Value
1666896250.407675,0,-93.1086196899414
1666896251.845916,1,-70.96504974365234
1666896253.409633,2,-76.07237243652344
1666896254.615302,3,-133.5697784423828
1666896256.505437,4,-148.24191284179688
1666896257.892414,5,-60.225955963134766
1666896259.166076,6,-118.23385620117188
1666896261.993396,7,-272.06121826171875
1666896264.810241,8,-11.444014549255371
1666896266.943104,9,-105.91292572021484
1666896268.668105,10,-124.98463439941406
1666896271.297861,11,-111.7416000366211
1666896273.769134,12,-388.1365661621094
1666896275.960256,13,-93.79593658447266
1666896277.548683,14,-61.69838333129883
1666896280.010984,15,-302.6446838378906
1666896282.54075,16,-138.73130798339844
1666896284.568637,17,-277.72540283203125
1666896287.358928,18,-264.1408386230469
1666896288.924191,19,-44.678466796875
1666896291.476119,20,-392.7257080078125
1666896293.344893,21,-118.9908218383789
1666896295.470211,22,-108.39230346679688
1666896297.006244,23,-78.15711975097656
1666896298.471187,24,-164.48294067382812
1666896300.479379,25,-149.9009246826172
1666896302.82496,26,-230.5688934326172
1666896305.635373,27,-58.34614562988281
1666896309.040437,28,-49.79619216918945
1666896311.474925,29,-248.66749572753906
1666896313.730758,30,-244.97352600097656
1666896316.182136,31,-38.17899703979492
1666896318.815145,32,-27.865598678588867
1666896320.685079,33,-125.9932861328125
1666896323.55518,34,-114.74632263183594
1666896325.359344,35,-218.84780883789062
1666896327.735317,36,-65.29638671875
1666896331.489196,37,-241.94866943359375
1666896334.307991,38,-97.14930725097656
1666896337.356844,39,-61.93815994262695
1666896339.996958,40,-106.88323211669922
1666896342.877284,41,-105.15392303466797
1666896345.306278,42,-189.5666046142578
1666896347.004963,43,-92.09673309326172
1666896350.009554,44,-51.91764831542969
1666896352.460596,45,-118.13780975341797
1666896355.032537,46,-80.27494049072266
1666896358.052056,47,-88.33433532714844
1666896359.960347,48,-46.28873825073242
1666896362.177115,49,-93.60492706298828
1666896365.748078,50,-92.36793518066406
1666896367.697954,51,-191.60684204101562
1666896369.586642,52,-96.48450469970703
1666896374.896618,53,-47.30909729003906
1666896376.627171,54,-50.06449508666992
1666896382.145338,55,-46.01896667480469
1666896385.151525,56,-65.1065444946289
1666896387.320684,57,-87.55162811279297
1666896394.889724,58,-54.79059600830078
1666896397.608944,59,-57.78855514526367
1666896401.543234,60,-70.47438049316406
1666896403.330427,61,-5.632940292358398
1666896406.190402,62,-4.604060173034668
1666896408.951503,63,-20.930469512939453
1666896411.72401,64,-57.67613220214844
1666896414.497907,65,-14.633064270019531
1666896420.250976,66,5.132406234741211
1666896424.540271,67,-21.961008071899414
1666896432.077113,68,-42.48799133300781
1666896435.791098,69,-29.390209197998047
1666896438.138685,70,-159.99566650390625
1666896440.947937,71,-86.94207763671875
1666896442.518277,72,-66.07028198242188
1666896449.931071,73,-1.7904726266860962
1666896454.77568,74,-45.34560012817383
1666896457.149577,75,-161.28639221191406
1666896467.211874,76,82.9665298461914
1666896470.745006,77,-28.07795524597168
1666896473.199696,78,-10.859281539916992
1666896478.245123,79,-41.71225357055664
1666896488.044059,80,-76.23270416259766
1666896496.130168,81,-52.88509750366211
1666896502.370977,82,-32.83026123046875
1666896505.564302,83,-37.394752502441406
1666896508.461665,84,-20.475622177124023
1666896512.15635,85,0.3816358745098114
1666896522.228709,86,72.56895446777344
1666896532.306908,87,-80.40557861328125
1666896542.37319,88,-3.705226421356201
1666896545.444198,89,2.5591938495635986
1666896550.2147,90,-97.80441284179688
1666896553.589359,91,-11.840420722961426
1666896558.524066,92,-33.26188659667969
1666896560.828115,93,5.676005840301514
1666896564.634832,94,-327.4009704589844
1666896565.96482,95,-53.12623977661133
1666896576.047713,96,93.01296997070312
1666896580.084292,97,-68.30052947998047
1666896582.14821,98,-5.248830795288086
1666896592.24342,99,83.20824432373047
1666896599.822986,100,-34.58012390136719
1666896605.86272,101,-154.57701110839844
