Wall time,Step,Value
1666903410.121963,0,-128.5063018798828
1666903412.279369,1,-203.0380096435547
1666903414.014113,2,-110.77902221679688
1666903415.325775,3,-44.292266845703125
1666903417.452804,4,-253.2987060546875
1666903419.780613,5,-270.7362365722656
1666903421.648512,6,-151.36056518554688
1666903423.731497,7,-327.4676513671875
1666903426.000486,8,-388.8887023925781
1666903427.868761,9,-249.18338012695312
1666903429.939734,10,-238.08575439453125
1666903431.348237,11,-137.08595275878906
1666903433.574547,12,-167.54360961914062
1666903435.45907,13,16.84229278564453
1666903437.731016,14,-116.88176727294922
1666903439.523038,15,-126.20203399658203
1666903441.372544,16,-114.44815826416016
1666903444.228884,17,-112.25769805908203
1666903445.593399,18,-83.22986602783203
1666903447.662446,19,-275.7330322265625
1666903449.207641,20,-101.02127075195312
1666903451.372642,21,-150.07962036132812
1666903453.345251,22,-321.0963439941406
1666903455.593933,23,-180.80093383789062
1666903457.500783,24,-468.68707275390625
1666903459.588371,25,-75.24906158447266
1666903460.990982,26,-75.23702239990234
1666903462.37217,27,-128.23672485351562
1666903464.598586,28,-68.42790222167969
1666903467.411738,29,-68.83711242675781
1666903468.796657,30,-95.20503234863281
1666903471.229617,31,-176.03489685058594
1666903473.388534,32,-119.11592864990234
1666903475.177883,33,-68.48793029785156
1666903476.931515,34,-96.26242065429688
1666903478.531972,35,-71.1324462890625
1666903480.117576,36,-86.35009765625
1666903482.184988,37,-346.7933044433594
1666903483.891191,38,-90.71663665771484
1666903485.478856,39,-108.9980239868164
1666903487.95005,40,-161.08311462402344
1666903489.83702,41,-128.53131103515625
1666903491.725455,42,-106.40299987792969
1666903493.813319,43,-159.0558319091797
1666903496.048691,44,-328.5658264160156
1666903498.327146,45,-23.44979476928711
1666903500.370341,46,-184.30723571777344
1666903503.207692,47,-80.79186248779297
1666903506.274744,48,-16.989179611206055
1666903508.786464,49,-49.9107780456543
1666903511.117522,50,-32.64369583129883
1666903513.008963,51,-79.10057830810547
1666903515.406712,52,-79.95658111572266
1666903517.438697,53,-122.00112915039062
1666903527.505717,54,106.37068176269531
1666903529.71052,55,-280.0921325683594
1666903531.420759,56,-102.9812240600586
1666903533.517001,57,-254.4914093017578
1666903536.497546,58,-259.854736328125
1666903538.341655,59,-288.0711975097656
1666903540.87567,60,-355.9148254394531
1666903542.785205,61,-263.2037658691406
1666903545.054489,62,-201.57199096679688
1666903547.786335,63,-270.1344909667969
1666903549.856986,64,-309.3691711425781
1666903551.228752,65,-77.48927307128906
1666903553.322433,66,-149.4195098876953
1666903555.536555,67,-78.32698822021484
1666903557.525224,68,-82.4286880493164
1666903560.078839,69,-36.6353874206543
1666903563.474942,70,-177.56690979003906
1666903566.002429,71,-162.2016143798828
1666903568.110604,72,-91.5472183227539
1666903570.593104,73,-16.956287384033203
1666903572.355378,74,-32.26978302001953
1666903574.262438,75,-147.42576599121094
1666903576.612129,76,-160.39938354492188
1666903579.421451,77,-70.02733612060547
1666903581.989552,78,-186.68695068359375
1666903585.241017,79,-58.66868591308594
1666903587.188475,80,11.76892375946045
1666903590.113318,81,-128.215576171875
1666903591.776317,82,-80.64933013916016
1666903594.648635,83,-42.10670852661133
1666903597.277904,84,-83.3069839477539
1666903599.128003,85,-118.87316131591797
1666903601.638017,86,-178.75604248046875
1666903603.749339,87,-101.29042053222656
1666903606.551203,88,-182.19544982910156
1666903610.526958,89,-220.41749572753906
1666903612.298363,90,-69.8880386352539
1666903614.607532,91,-233.95188903808594
1666903617.115926,92,-247.97752380371094
1666903619.273105,93,-80.21349334716797
1666903621.116289,94,-248.95693969726562
1666903623.12427,95,-339.94219970703125
1666903625.039413,96,-196.2798309326172
1666903627.877595,97,-96.78402709960938
1666903629.805021,98,0.42178675532341003
1666903632.178466,99,-38.57487487792969
1666903634.385336,100,-255.31956481933594
1666903639.140485,101,-225.41378784179688
1666903643.804575,102,-81.42791748046875
1666903645.781532,103,-96.92710876464844
1666903648.460629,104,-41.85288619995117
1666903653.287123,105,-127.26283264160156
1666903656.144475,106,-148.49012756347656
1666903657.851968,107,-62.71958541870117
1666903661.559275,108,-376.8367614746094
1666903663.569419,109,-167.136474609375
1666903669.839637,110,-199.32998657226562
1666903672.675228,111,-164.8220672607422
1666903674.805378,112,-30.084165573120117
1666903678.415344,113,-87.98255157470703
1666903681.161009,114,-100.32569885253906
1666903684.53498,115,-236.73489379882812
1666903688.093382,116,43.12578582763672
1666903692.817252,117,-209.7621612548828
1666903695.453851,118,-30.934120178222656
1666903698.699557,119,-42.955081939697266
1666903701.471961,120,-79.63085174560547
1666903704.222757,121,8.562146186828613
1666903707.689325,122,-108.47809600830078
1666903711.127195,123,-130.42047119140625
1666903713.576056,124,-64.12960815429688
1666903715.308349,125,-71.93767547607422
1666903718.680185,126,-3.893554925918579
1666903721.05138,127,-80.20740509033203
1666903723.100374,128,-71.1029281616211
1666903726.201087,129,-67.26309204101562
1666903728.191003,130,-43.52799606323242
1666903730.598873,131,-109.66835021972656
1666903733.230858,132,-68.8229751586914
1666903735.975254,133,-50.59888458251953
1666903738.852664,134,-66.63114929199219
1666903742.470404,135,-94.44275665283203
1666903746.144556,136,-69.807373046875
1666903748.172371,137,2.2361741065979004
1666903750.163029,138,-82.94310760498047
1666903752.874411,139,-158.9484100341797
1666903756.193191,140,-47.29677963256836
1666903760.057459,141,-147.33782958984375
1666903763.413954,142,-65.64401245117188
1666903765.043385,143,-28.24115753173828
1666903768.262014,144,-209.35281372070312
1666903770.976635,145,-132.9814910888672
1666903773.182948,146,-72.57120513916016
1666903776.722581,147,-230.8029022216797
1666903779.290425,148,-195.68252563476562
1666903782.294502,149,-41.15677261352539
1666903785.977415,150,-65.87967681884766
1666903789.894633,151,-157.81866455078125
1666903795.516887,152,-190.98660278320312
1666903800.733423,153,-342.1408386230469
1666903803.146455,154,-48.08015823364258
1666903806.419249,155,-76.54106903076172
1666903810.133856,156,1.8008841276168823
1666903813.811665,157,-72.90314483642578
1666903816.798841,158,-43.60197448730469
1666903819.930532,159,-75.78267669677734
1666903822.657111,160,-48.609832763671875
1666903828.415284,161,-126.28382873535156
1666903832.257579,162,-96.81272888183594
1666903836.497748,163,-133.9002227783203
1666903844.301747,164,-122.01044464111328
1666903849.921995,165,-112.91596221923828
1666903858.62748,166,-549.7682495117188
1666903861.663315,167,-59.03831481933594
1666903865.876497,168,-98.60213470458984
1666903868.590498,169,-65.56169128417969
1666903876.398056,170,-267.89324951171875
1666903886.473863,171,-164.27615356445312
1666903890.5254,172,-350.5444030761719
1666903899.031672,173,-190.53199768066406
1666903903.986445,174,-13.116754531860352
1666903912.691054,175,-272.238037109375
1666903922.979213,176,122.08325958251953
1666903928.209453,177,-74.43766784667969
1666903931.322429,178,-39.43656539916992
1666903935.006425,179,-84.67437744140625
1666903938.11731,180,21.423032760620117
1666903941.33405,181,4.312931537628174
1666903946.234326,182,-47.12060546875
1666903950.297368,183,15.865635871887207
1666903954.092532,184,-16.717967987060547
1666903957.670657,185,-45.0888786315918
1666903967.9701,186,119.8602066040039
1666903970.94471,187,35.82844924926758
1666903981.030358,188,140.88980102539062
1666903985.594105,189,-48.19759750366211
1666903995.024687,190,-184.25572204589844
1666904001.097671,191,-79.90836334228516
1666904005.357819,192,23.01459312438965
1666904015.687018,193,36.4019775390625
1666904020.519433,194,-173.28671264648438
1666904026.076899,195,-69.08452606201172
1666904036.385561,196,87.65394592285156
1666904041.278707,197,-51.03654479980469
1666904051.36902,198,49.918785095214844
1666904061.67911,199,100.5915756225586
1666904067.107125,200,-42.106170654296875
1666904075.193153,201,-24.954103469848633
1666904081.78154,202,-34.95021057128906
1666904092.077224,203,138.3035125732422
1666904102.162408,204,78.52061462402344
1666904112.249991,205,-2.548591375350952
1666904122.52808,206,73.35179138183594
1666904127.60703,207,-139.0784912109375
1666904134.19965,208,-171.84445190429688
1666904138.871866,209,-138.44113159179688
1666904146.407086,210,-253.34263610839844
1666904153.62058,211,-130.51524353027344
1666904163.717447,212,67.56841278076172
1666904172.91183,213,-187.79489135742188
1666904182.973928,214,-9.416903495788574
1666904193.074079,215,96.09878540039062
1666904198.604316,216,-183.52728271484375
1666904204.168524,217,-48.818206787109375
1666904214.260393,218,49.033363342285156
1666904224.556508,219,37.87299728393555
1666904234.14518,220,-281.7097473144531
1666904244.252094,221,-24.968669891357422
1666904254.524267,222,52.494781494140625
1666904264.600699,223,52.98859786987305
1666904274.700823,224,-72.40819549560547
1666904284.958671,225,-85.72544860839844
1666904295.050376,226,0.9195075631141663
1666904305.140482,227,-37.49364471435547
1666904315.42574,228,63.489253997802734
1666904325.495283,229,-65.31629180908203
1666904335.58649,230,101.11431884765625
1666904342.576307,231,-22.753158569335938
1666904352.638786,232,103.76802062988281
1666904362.714782,233,59.6004524230957
1666904368.239496,234,-2.2137339115142822
1666904374.571155,235,7.268028736114502
1666904384.659747,236,105.2650375366211
1666904393.135103,237,-145.80865478515625
1666904403.201081,238,26.45897102355957
1666904413.275846,239,47.43311309814453
1666904423.570552,240,67.28740692138672
1666904433.649847,241,10.872605323791504
1666904441.621554,242,-150.47178649902344
1666904451.911879,243,43.49421310424805
1666904461.991796,244,17.366064071655273
1666904472.076302,245,85.64310455322266
1666904482.348739,246,35.433353424072266
1666904492.410037,247,74.64629364013672
1666904502.502912,248,118.82196807861328
1666904512.787194,249,83.67363739013672
1666904522.866079,250,118.71300506591797
1666904532.944922,251,122.37683868408203
1666904543.234221,252,113.24091339111328
1666904550.645351,253,-27.680898666381836
1666904560.743308,254,15.580892562866211
1666904571.027798,255,78.21656036376953
1666904581.106223,256,52.035430908203125
1666904591.205649,257,29.466896057128906
1666904601.480364,258,93.6837387084961
1666904611.548552,259,32.582183837890625
1666904621.637155,260,13.130507469177246
1666904631.904078,261,35.94425964355469
1666904641.97057,262,5.652282238006592
1666904652.046914,263,-8.037737846374512
1666904662.311537,264,-40.3721809387207
1666904672.382324,265,-34.494144439697266
1666904682.469999,266,-45.46526336669922
1666904692.749639,267,-57.73224639892578
1666904702.852336,268,-2.965412139892578
1666904712.928528,269,49.72035598754883
1666904723.202228,270,12.75947093963623
1666904733.267641,271,15.604381561279297
1666904743.37843,272,41.43889617919922
1666904753.668428,273,22.248859405517578
1666904763.743681,274,44.26773452758789
1666904773.820184,275,75.07267761230469
1666904784.109958,276,40.74396514892578
