Wall time,Step,Value
1665551902.732678,0,-367.84454345703125
1665551908.91598,1,-104.5526351928711
1665551919.587965,2,-114.08905029296875
1665551925.01317,3,-314.3713073730469
1665551931.606761,4,-202.98899841308594
1665551937.128287,5,-57.150360107421875
1665551944.266749,6,-197.71432495117188
1665551950.917456,7,-274.44805908203125
1665551956.915195,8,-436.3142395019531
1665551962.285466,9,-26.3378963470459
1665551970.664583,10,-82.014404296875
1665551980.794746,11,-333.6317443847656
1665551986.974313,12,-139.36827087402344
1665551994.404452,13,-55.76716995239258
1665552004.752551,14,-116.15369415283203
1665552012.243346,15,-339.5299377441406
1665552019.49724,16,-97.02761840820312
1665552030.334509,17,-173.6689453125
1665552038.578825,18,-276.4241943359375
1665552045.0913,19,-74.12415313720703
1665552054.869403,20,-110.37288665771484
1665552062.551957,21,-106.69816589355469
1665552068.106274,22,-422.4062194824219
1665552074.701979,23,-262.3427429199219
1665552082.086687,24,-205.51185607910156
1665552088.217824,25,-353.2530212402344
1665552094.046135,26,-195.04345703125
1665552105.664502,27,-434.55853271484375
1665552112.194043,28,-82.84256744384766
1665552120.316614,29,-108.2396240234375
1665552127.578416,30,-275.7848815917969
1665552136.685745,31,-453.50958251953125
1665552144.193759,32,-391.35723876953125
1665552154.538302,33,-211.7978057861328
1665552160.613163,34,-141.46961975097656
1665552167.699799,35,-251.1910400390625
1665552173.388469,36,-138.07447814941406
1665552182.565905,37,-114.90203857421875
1665552189.682194,38,2.3323912620544434
1665552196.079247,39,-442.2059631347656
1665552204.896116,40,-250.3579559326172
1665552213.093104,41,-303.7995300292969
1665552218.542974,42,-161.58302307128906
1665552225.5221,43,-401.5879821777344
1665552232.214585,44,-65.36771392822266
1665552241.426089,45,-91.3414306640625
1665552252.195442,46,-104.23933410644531
1665552260.214683,47,-426.8507080078125
1665552266.334326,48,-72.01860046386719
1665552276.871704,49,-101.31057739257812
1665552282.885766,50,-172.14991760253906
1665552290.458047,51,-303.8349914550781
1665552297.161214,52,-101.51025390625
1665552304.976594,53,-387.3030700683594
1665552315.439449,54,-86.30738830566406
1665552320.785511,55,-124.72313690185547
1665552327.360518,56,-138.55734252929688
1665552333.580217,57,-131.19483947753906
1665552344.681324,58,-298.8054504394531
1665552351.844109,59,-259.7934875488281
1665552359.287791,60,-37.99187469482422
1665552368.454136,61,-111.92483520507812
