Wall time,Step,Value
1665542934.32848,0,-153.86859130859375
1665542939.130837,1,-128.52130126953125
1665542943.809843,2,-345.2681884765625
1665542947.197457,3,-75.05105590820312
1665542950.930563,4,-104.42290496826172
1665542953.860592,5,-177.971435546875
1665542958.278823,6,-193.69764709472656
1665542962.120918,7,-243.93524169921875
1665542966.668675,8,-436.51654052734375
1665542969.631692,9,-49.65719223022461
1665542973.882312,10,-190.60325622558594
1665542976.675673,11,-137.74916076660156
1665542979.5498,12,-51.11960983276367
1665542982.02811,13,-60.62701416015625
1665542987.782802,14,-171.00958251953125
1665542990.997709,15,-299.4482421875
1665542994.088298,16,-389.4231872558594
1665542999.11231,17,-237.63253784179688
1665543004.877471,18,-313.7577819824219
1665543008.891034,19,-304.45648193359375
1665543011.238365,20,-114.955322265625
1665543016.093884,21,-207.70159912109375
1665543019.787053,22,-375.6398010253906
1665543023.506489,23,-227.7310028076172
1665543028.109958,24,-361.947021484375
1665543032.384329,25,-197.80177307128906
1665543035.208492,26,-70.88876342773438
1665543040.81197,27,-236.524658203125
1665543044.648127,28,-245.03298950195312
1665543049.787322,29,-142.2914276123047
1665543054.217734,30,-59.643646240234375
1665543058.157125,31,-315.2937316894531
1665543063.756201,32,-212.81736755371094
1665543066.919677,33,-113.9922103881836
1665543071.435842,34,-88.85335540771484
1665543075.961605,35,-275.89581298828125
1665543079.932724,36,-299.9210205078125
1665543083.880413,37,-328.93408203125
1665543088.333072,38,-288.6546630859375
1665543091.534799,39,-85.01702880859375
1665543095.472428,40,-256.0928039550781
1665543099.275356,41,-131.1885986328125
1665543104.212832,42,-199.48269653320312
1665543108.767811,43,-271.5812072753906
1665543112.313426,44,-367.7264099121094
1665543116.045828,45,-322.7574768066406
1665543119.583308,46,-101.592041015625
1665543123.165604,47,-312.9342041015625
1665543128.330586,48,-221.34739685058594
1665543132.870378,49,-463.13189697265625
1665543136.708131,50,-147.08578491210938
1665543141.426374,51,-211.8585662841797
1665543145.612639,52,-156.3540496826172
1665543149.108713,53,-327.49456787109375
1665543153.158501,54,-316.7744445800781
1665543156.511028,55,-281.3859558105469
1665543159.582598,56,-451.6431884765625
1665543164.081253,57,-123.34813690185547
1665543166.846744,58,-88.0028305053711
1665543171.225169,59,-197.75514221191406
1665543174.874627,60,-181.3686065673828
1665543178.066807,61,-417.0673522949219
1665543183.641134,62,-119.36781311035156
1665543188.030411,63,-214.02908325195312
1665543192.9607,64,-120.7672119140625
1665543195.800523,65,-45.28163528442383
1665543200.472116,66,-461.8062438964844
1665543205.372661,67,-378.3594970703125
1665543210.249248,68,-61.659671783447266
1665543213.935949,69,-151.7206573486328
1665543217.11555,70,-359.28033447265625
1665543221.075207,71,-287.0414733886719
1665543224.680158,72,-171.3190460205078
1665543228.116499,73,-410.226806640625
1665543232.095306,74,-154.330322265625
1665543235.557123,75,-65.0205307006836
1665543239.684282,76,-237.25636291503906
1665543243.982612,77,-305.8481140136719
1665543247.717927,78,-266.1639709472656
1665543250.780533,79,-351.4933166503906
1665543255.477656,80,-274.3753967285156
1665543259.476096,81,-74.33055114746094
