Wall time,Step,Value
1665937286.842762,0,-429.1466979980469
1665937289.784408,1,-191.88514709472656
1665937291.151066,2,-63.12523651123047
1665937292.476246,3,-122.16728210449219
1665937293.740498,4,-236.9890899658203
1665937295.374318,5,-187.66383361816406
1665937296.778395,6,-74.39807891845703
1665937299.163588,7,-344.1341857910156
1665937301.309012,8,-161.23248291015625
1665937302.953037,9,-75.7824478149414
1665937304.336123,10,-112.04862213134766
1665937306.10408,11,-614.4473876953125
1665937308.355968,12,-231.856689453125
1665937309.803949,13,-113.11971282958984
1665937312.40165,14,-254.05027770996094
1665937314.289685,15,-274.1322326660156
1665937329.434644,16,-363.30059814453125
1665937331.307009,17,-18.44683265686035
1665937333.595118,18,-185.03013610839844
1665937335.444023,19,-356.15338134765625
1665937338.09208,20,-501.7675476074219
1665937341.159377,21,-334.41461181640625
1665937343.108481,22,-86.07611083984375
1665937344.818998,23,-364.7905578613281
1665937346.339746,24,-279.8798828125
1665937348.672233,25,-112.5038833618164
1665937350.802686,26,-308.367919921875
1665937353.18518,27,-143.3578338623047
1665937355.130371,28,-314.2482604980469
1665937358.22,29,-137.88906860351562
1665937359.925335,30,-361.6698913574219
1665937367.277375,31,-501.8205871582031
1665937368.785333,32,-468.53326416015625
1665937369.869528,33,-326.6609802246094
1665937371.612748,34,-367.6390380859375
1665937373.789138,35,-564.5845947265625
1665937379.956661,36,-518.300048828125
1665937381.680702,37,-342.9962463378906
1665937382.840725,38,-321.9195861816406
1665937384.20219,39,-374.81494140625
1665937385.967638,40,-633.0368041992188
1665937387.174698,41,-303.3252258300781
1665937389.284168,42,-265.34521484375
1665937390.446657,43,-338.3020935058594
1665937392.253338,44,-620.8045654296875
1665937394.742492,45,-695.479248046875
1665937396.430602,46,-617.848876953125
1665937403.803692,47,-534.7611694335938
1665937407.041644,48,-1121.3037109375
1665937410.009311,49,-1032.3538818359375
1665937411.798653,50,-686.3709106445312
1665937414.948161,51,-1163.950439453125
1665937416.800309,52,-535.249755859375
1665937419.491899,53,-949.0208129882812
1665937422.164804,54,-970.0665283203125
1665937423.790198,55,-431.18341064453125
1665937432.011701,56,-4466.439453125
1665937446.721955,57,-561.8404541015625
1665937447.893121,58,-355.8484191894531
1665937451.349595,59,-1114.937744140625
1665937453.609257,60,-775.9606323242188
1665937456.07488,61,-366.4871826171875
1665937457.218634,62,-345.68798828125
1665937459.103129,63,-698.2327270507812
1665937460.610126,64,-553.9583740234375
1665937463.700754,65,-1036.9268798828125
1665937466.067735,66,-863.9290161132812
1665937468.570678,67,-930.0950927734375
1665937472.306305,68,-546.9406127929688
1665937475.81725,69,-1147.9752197265625
1665937477.064673,70,-374.45880126953125
1665937491.530065,71,-695.5654907226562
1665937493.442316,72,-535.4760131835938
1665937495.00259,73,-559.7592163085938
1665937498.580292,74,-1075.261474609375
1665937501.389424,75,-1042.7283935546875
1665937505.862069,76,-1284.722900390625
1665937507.44629,77,-419.21051025390625
1665937509.294022,78,-562.2778930664062
1665937513.306912,79,-1411.097412109375
1665937514.873342,80,-361.9577331542969
1665937516.81793,81,-456.2296447753906
1665937519.284364,82,-803.2333374023438
1665937521.533959,83,-834.607421875
1665937536.156301,84,-734.76513671875
1665937537.387868,85,-520.91552734375
1665937539.697852,86,-845.9346313476562
1665937542.123231,87,-1213.06298828125
1665937545.093318,88,-1092.920654296875
1665937546.879437,89,-532.98193359375
1665937552.696054,90,-2710.582763671875
1665937554.278942,91,-837.3873291015625
1665937555.886171,92,-444.9862365722656
1665937558.536914,93,-625.5313720703125
1665937560.297687,94,-676.5205078125
1665937561.462118,95,-522.642333984375
1665937563.510373,96,-621.7138671875
1665937565.27989,97,-604.1392211914062
1665937566.721244,98,-502.26116943359375
1665937581.267657,99,-954.3201904296875
1665937585.825997,100,-1514.156005859375
1665937589.301026,101,-935.6826171875
1665937593.196237,102,-1727.737548828125
1665937597.463452,103,-1385.1622314453125
1665937598.587105,104,-497.7646789550781
1665937601.88154,105,-1143.5321044921875
1665937604.07301,106,-630.595458984375
1665937606.060891,107,-652.3085327148438
1665937609.588333,108,-1070.6553955078125
1665937630.335479,109,-4467.3427734375
1665937632.643128,110,-431.5397033691406
1665937635.431387,111,-837.9194946289062
1665937638.704937,112,-1169.13134765625
1665937640.591662,113,-599.9948120117188
1665937643.501614,114,-810.1611938476562
1665937646.074876,115,-516.9796142578125
1665937648.142062,116,-571.17431640625
1665937649.723179,117,-426.8439025878906
1665937651.950519,118,-659.27294921875
1665937654.116537,119,-469.7245788574219
1665937656.204353,120,-626.5235595703125
