Wall time,Step,Value
1666218710.320845,0,-1678.5985107421875
1666218716.973688,1,-843.4812622070312
1666218723.64113,2,-1068.92431640625
1666218730.311098,3,-1134.4068603515625
1666218736.984473,4,-835.381103515625
1666218744.371174,5,-751.7200317382812
1666218751.438181,6,-1377.243896484375
1666218758.442808,7,-1174.5494384765625
1666218765.509384,8,-1294.611572265625
1666218772.511612,9,-1640.9608154296875
1666218779.558865,10,-763.7171020507812
1666218786.572628,11,-1051.985595703125
1666218793.607103,12,-1501.4979248046875
1666218800.603308,13,-754.8573608398438
1666218807.501895,14,-973.022216796875
1666218814.446321,15,-1664.018310546875
1666218821.373458,16,-753.083984375
1666218828.428143,17,-880.1135864257812
1666218835.405022,18,-1500.300048828125
1666218842.490206,19,-1070.4539794921875
1666218849.510519,20,-1746.0338134765625
1666218856.5601,21,-1532.525634765625
1666218863.589989,22,-982.2122192382812
1666218870.629532,23,-1852.459716796875
1666218877.656505,24,-1182.611572265625
1666218884.655235,25,-1074.658447265625
1666218891.711982,26,-1305.5159912109375
1666218898.788288,27,-845.3214111328125
1666218905.680882,28,-891.0718994140625
1666218912.64558,29,-1191.850341796875
1666218919.681617,30,-881.7578125
1666218926.750906,31,-1440.6739501953125
1666218933.746758,32,-1187.3033447265625
1666218940.702929,33,-1230.0479736328125
1666218947.762258,34,-1835.7254638671875
1666218954.880629,35,-1509.9849853515625
1666218961.689319,36,-1066.4112548828125
1666218968.574151,37,-1228.953125
1666218975.546402,38,-1646.21923828125
1666218982.506897,39,-1515.2396240234375
1666218989.500455,40,-1395.9976806640625
1666218996.368449,41,-801.80126953125
1666219003.058129,42,-896.4033813476562
1666219009.785741,43,-922.4175415039062
1666219016.497229,44,-1468.3192138671875
1666219023.198441,45,-1452.1778564453125
1666219029.913032,46,-856.69091796875
1666219036.614187,47,-1585.55810546875
1666219043.307202,48,-1635.0540771484375
1666219050.02861,49,-1192.6656494140625
1666219056.801073,50,-126.43154907226562
1666219063.59663,51,-119.79132843017578
1666219070.424471,52,-120.95295715332031
1666219077.24734,53,-227.2737579345703
1666219084.037857,54,-230.71380615234375
1666219090.835248,55,-118.72035217285156
1666219097.605991,56,-1336.579833984375
1666219104.399888,57,-0.9316860437393188
1666219111.217408,58,-224.1689910888672
1666219118.039234,59,-1386.353271484375
1666219124.85839,60,-374.644287109375
1666219131.647554,61,-235.5655059814453
1666219138.440595,62,-115.46577453613281
1666219145.158794,63,-121.03298950195312
1666219151.922444,64,-119.99395751953125
1666219158.667518,65,-125.2710952758789
1666219165.448218,66,-230.4127655029297
1666219172.240443,67,-2.191920042037964
1666219179.025117,68,-117.08110046386719
1666219185.832058,69,-114.6626205444336
1666219192.66457,70,-120.93392181396484
1666219199.480463,71,-118.73124694824219
1666219206.253753,72,-127.14741516113281
1666219213.069714,73,-235.75494384765625
1666219219.89667,74,-118.77997589111328
1666219226.719444,75,-235.234130859375
1666219233.521735,76,-121.08592987060547
1666219240.302687,77,-2.1702682971954346
1666219247.092958,78,-231.1882781982422
1666219253.854908,79,-117.75944519042969
1666219260.641299,80,-121.72404479980469
1666219267.395341,81,-120.54271697998047
1666219274.179431,82,-259.70068359375
1666219281.004678,83,-120.78206634521484
1666219287.807628,84,-241.0161895751953
1666219294.596482,85,-230.0255584716797
1666219301.383338,86,-119.83122253417969
1666219308.153948,87,-0.13581155240535736
1666219314.986251,88,-119.87615203857422
1666219321.77135,89,-233.7617645263672
1666219328.528635,90,-119.50521850585938
1666219335.303659,91,-122.2238998413086
1666219342.040948,92,-125.21623229980469
1666219348.80465,93,-119.29398345947266
1666219355.488752,94,-237.95675659179688
1666219362.180368,95,-115.9298095703125
1666219368.858255,96,-239.18690490722656
1666219375.550886,97,-126.00554656982422
1666219382.218149,98,-126.16071319580078
1666219388.898503,99,-123.28939056396484
1666219395.586028,100,-114.65544891357422
1666219402.278157,101,-0.8418492674827576
1666219409.002786,102,-122.47296905517578
1666219415.706639,103,-120.7232437133789
1666219422.386478,104,-239.59242248535156
1666219429.079429,105,-1.179138422012329
1666219435.762462,106,-119.8958740234375
1666219442.440475,107,-120.61834716796875
1666219449.110334,108,-125.70744323730469
1666219455.82716,109,-1.1857270002365112
1666219462.572763,110,-233.39598083496094
1666219469.287113,111,-115.24532318115234
1666219475.980627,112,-115.0931396484375
1666219482.71917,113,-349.6960754394531
1666219489.376965,114,-129.30201721191406
1666219496.050998,115,-1.1650855541229248
1666219502.762456,116,-262.09747314453125
1666219509.447026,117,-1.7013031244277954
1666219516.145011,118,-121.27747344970703
1666219522.843864,119,-117.60557556152344
1666219529.536088,120,-125.33367156982422
1666219536.250869,121,-231.8473663330078
1666219542.953285,122,-121.64535522460938
1666219549.625444,123,-121.48836517333984
1666219556.32585,124,-225.24459838867188
1666219563.02206,125,-117.0188217163086
1666219569.697378,126,-124.75630950927734
1666219576.395733,127,-127.67562103271484
1666219583.072977,128,-121.92888641357422
1666219589.772358,129,-123.09754943847656
1666219596.474335,130,-127.52652740478516
1666219603.158507,131,-123.7366714477539
1666219609.832358,132,-127.44075775146484
1666219616.507681,133,-127.08390808105469
1666219623.21151,134,-236.03201293945312
1666219629.887195,135,-114.47591400146484
1666219636.568957,136,-123.49777221679688
1666219643.282979,137,-129.2183837890625
1666219649.982244,138,-222.31141662597656
1666219656.667342,139,-122.54833984375
1666219663.369285,140,-123.36331939697266
1666219670.10211,141,-364.3089599609375
1666219676.826942,142,-231.86141967773438
1666219683.530383,143,-243.40907287597656
1666219690.227292,144,-359.17315673828125
1666219696.917598,145,-232.02146911621094
1666219703.598905,146,-118.77935028076172
1666219710.328345,147,-119.97891235351562
1666219716.989034,148,-232.0849151611328
1666219723.684571,149,-348.1592102050781
1666219730.409084,150,-240.76242065429688
1666219737.124157,151,-241.69102478027344
1666219743.815672,152,-3.4901914596557617
1666219750.482274,153,-120.13577270507812
1666219757.171638,154,-3.3144729137420654
1666219763.871987,155,-226.68072509765625
1666219770.569357,156,-121.61637878417969
1666219777.265503,157,-230.5629119873047
1666219783.953985,158,-127.44184112548828
1666219790.652543,159,-120.27888488769531
1666219797.347291,160,-125.42322540283203
1666219804.051692,161,-121.08363342285156
1666219810.717306,162,-127.87498474121094
1666219817.42003,163,-123.2750015258789
1666219824.098256,164,-115.58342742919922
1666219830.822538,165,-230.62631225585938
1666219837.532455,166,-115.72260284423828
1666219844.226403,167,-122.53693389892578
1666219850.924411,168,-311.992431640625
1666219857.578968,169,-128.7247772216797
1666219864.296541,170,-120.86148071289062
1666219871.007282,171,-342.70587158203125
1666219877.726214,172,-124.21991729736328
1666219884.452769,173,-121.80048370361328
1666219891.124361,174,-232.05340576171875
1666219897.818748,175,-2.5532009601593018
1666219904.512956,176,-2.7602639198303223
1666219911.166501,177,-120.90705108642578
1666219917.857933,178,-248.53416442871094
1666219924.575388,179,-227.94593811035156
1666219931.266519,180,-3.538565158843994
1666219937.97786,181,-122.58766174316406
1666219944.69872,182,-3.1157472133636475
1666219951.396835,183,-338.6162414550781
1666219958.122431,184,-244.82936096191406
1666219964.789196,185,-316.8905029296875
1666219971.457654,186,-122.35501861572266
1666219978.123197,187,-239.5612030029297
1666219984.819157,188,-121.51963806152344
1666219991.491395,189,-230.5039825439453
1666219998.205875,190,-240.95257568359375
1666220004.869815,191,-3.2362375259399414
1666220011.577447,192,-128.9833526611328
1666220018.238116,193,-122.42411041259766
1666220024.916904,194,-117.58743286132812
1666220031.646813,195,-128.54530334472656
1666220038.337993,196,-125.03196716308594
1666220045.065812,197,-125.12535858154297
1666220051.736049,198,-116.75475311279297
1666220058.423006,199,-121.63644409179688
1666220065.121835,200,-116.87630462646484
1666220071.83365,201,-119.25931549072266
1666220078.555859,202,-125.26842498779297
1666220085.280933,203,-125.79957580566406
1666220092.032498,204,-120.20896911621094
1666220098.754658,205,-223.9398193359375
1666220105.437847,206,-225.94554138183594
1666220112.095777,207,-230.07611083984375
1666220118.786384,208,-126.513671875
1666220125.467317,209,-243.96116638183594
1666220132.152904,210,-124.51611328125
1666220138.863901,211,-228.31507873535156
1666220145.561447,212,-121.49671173095703
1666220152.269042,213,-0.33677324652671814
1666220158.946173,214,-0.8451113104820251
1666220165.662629,215,-247.12359619140625
1666220172.358729,216,-236.30752563476562
1666220179.065199,217,-122.3749008178711
1666220185.780109,218,-121.17450714111328
1666220192.492566,219,-117.92073822021484
1666220199.177954,220,-118.05437469482422
1666220205.863481,221,-117.52576446533203
1666220212.555246,222,-2.8243231773376465
1666220219.25522,223,-115.54308319091797
1666220225.92648,224,-238.27378845214844
1666220232.586851,225,-119.55001068115234
1666220239.278395,226,-115.76100158691406
1666220246.048369,227,-120.31642150878906
1666220252.829475,228,-332.81427001953125
1666220259.625566,229,-246.19235229492188
1666220266.385948,230,-222.15231323242188
1666220273.073877,231,-241.7042999267578
1666220279.802035,232,-250.7877655029297
1666220286.598765,233,-223.19871520996094
1666220293.321357,234,-224.9937744140625
1666220300.037366,235,-236.37234497070312
1666220306.790879,236,-349.04595947265625
1666220313.531107,237,-227.55184936523438
1666220320.294217,238,-225.04603576660156
1666220326.996291,239,-124.26310729980469
1666220333.699988,240,-1.4454522132873535
1666220340.445458,241,-244.19139099121094
1666220347.16802,242,-228.55694580078125
1666220353.885177,243,-118.12556457519531
1666220360.596524,244,-252.71914672851562
1666220367.349008,245,-0.4849499762058258
1666220374.047199,246,-123.5472412109375
1666220380.803722,247,-243.59344482421875
1666220387.533995,248,-117.22084045410156
1666220394.252377,249,-128.48580932617188
1666220400.969601,250,-125.74654388427734
1666220407.727909,251,-126.21914672851562
1666220414.43065,252,-243.32460021972656
1666220421.168346,253,-240.98611450195312
1666220427.920188,254,-243.2496795654297
1666220434.631902,255,-237.10031127929688
1666220441.381549,256,-115.22654724121094
1666220448.070575,257,-117.27198028564453
1666220454.793986,258,-249.94757080078125
1666220461.483899,259,-1.4929782152175903
1666220468.199985,260,-0.7785739898681641
1666220474.930978,261,-117.78565979003906
1666220481.63172,262,-129.5939483642578
1666220488.322004,263,-0.8346570134162903
1666220495.042761,264,-119.99666595458984
1666220501.806349,265,-127.81120300292969
1666220508.528778,266,-127.20500183105469
1666220515.263812,267,-125.12022399902344
1666220521.937775,268,-116.70215606689453
1666220528.648071,269,-125.45332336425781
1666220535.333177,270,-120.7678451538086
1666220542.092792,271,-235.0372772216797
1666220548.779319,272,-128.5395965576172
1666220555.51072,273,-3.1017284393310547
1666220562.225458,274,-116.57244873046875
1666220568.955405,275,-252.62025451660156
1666220575.660989,276,-230.62161254882812
1666220582.349728,277,-1.8238022327423096
1666220589.062437,278,-114.67183685302734
1666220595.76158,279,-122.91130065917969
1666220602.473075,280,-120.73568725585938
1666220609.191271,281,-1.229722261428833
1666220615.876102,282,-239.06300354003906
1666220622.589357,283,-123.58731079101562
1666220629.300408,284,-225.09420776367188
1666220636.004041,285,-121.80458068847656
1666220642.709121,286,-122.5822982788086
1666220649.417275,287,-124.63224792480469
1666220656.172401,288,-118.08871459960938
1666220662.889812,289,-121.22740173339844
1666220669.646674,290,-3.780247211456299
1666220676.365353,291,-234.26889038085938
1666220683.117223,292,-124.28466033935547
1666220689.801124,293,-120.3974838256836
1666220696.548217,294,-123.26544189453125
1666220703.262974,295,-131.87750244140625
1666220709.948753,296,-124.46464538574219
1666220716.671227,297,-226.466796875
1666220723.396693,298,-119.459716796875
1666220730.091964,299,-116.97280883789062
1666220736.807312,300,-237.43447875976562
1666220743.537762,301,-227.7666015625
1666220750.273422,302,-0.8844447135925293
1666220756.985225,303,-120.50720977783203
1666220763.715866,304,-119.34632873535156
1666220770.442168,305,-229.5912628173828
1666220777.20643,306,-225.74679565429688
1666220783.914303,307,-121.45771789550781
1666220790.613618,308,-350.1474914550781
1666220797.366156,309,-127.92833709716797
1666220804.067565,310,-227.97837829589844
1666220810.791558,311,-3.313380479812622
1666220817.513837,312,-125.00431823730469
1666220824.192972,313,-3.024801731109619
1666220830.909966,314,-233.51019287109375
1666220837.581739,315,-3.548647403717041
1666220844.280137,316,-363.5527648925781
1666220850.998337,317,-121.5469970703125
1666220857.7043,318,-124.07054138183594
1666220864.425111,319,-336.75396728515625
1666220871.140205,320,-118.61283111572266
1666220877.848151,321,-128.8758087158203
1666220884.568697,322,-119.19917297363281
1666220891.310472,323,-252.88287353515625
1666220898.038899,324,-362.4390563964844
1666220904.74865,325,-234.50672912597656
1666220911.451869,326,-114.27607727050781
1666220918.158751,327,-114.48403930664062
1666220924.870507,328,-130.41656494140625
1666220931.599445,329,-231.72923278808594
1666220938.33068,330,-226.14617919921875
1666220944.99264,331,-125.6505355834961
1666220951.709528,332,-225.37559509277344
1666220958.393655,333,-228.04559326171875
1666220965.070204,334,-120.04593658447266
1666220971.768817,335,-2.6981818675994873
1666220978.476431,336,-127.90982818603516
1666220985.187167,337,-128.68080139160156
1666220991.918128,338,-122.7142333984375
1666220998.638286,339,-125.28003692626953
1666221005.362383,340,-234.38101196289062
1666221012.069495,341,-362.8052062988281
1666221018.786727,342,-244.2987823486328
1666221025.49465,343,-242.59849548339844
1666221032.196845,344,-478.91864013671875
1666221038.923605,345,-245.45703125
1666221045.616347,346,-126.73959350585938
1666221052.344881,347,-0.5440680980682373
1666221059.118242,348,-116.02204132080078
1666221065.850228,349,-256.4308776855469
1666221072.552425,350,-125.58245849609375
1666221079.306396,351,-227.34201049804688
1666221086.041176,352,-126.94791412353516
1666221092.73241,353,-237.57135009765625
1666221099.407158,354,-5.561825752258301
1666221106.106742,355,-323.9969787597656
1666221112.810713,356,-121.733642578125
1666221119.50443,357,-235.21571350097656
1666221126.222731,358,-227.9692840576172
1666221132.973145,359,-236.42076110839844
1666221139.718018,360,-1.1296350955963135
1666221146.429271,361,-356.8861389160156
1666221153.152726,362,-126.1093978881836
1666221159.915453,363,-357.37493896484375
1666221166.613459,364,-128.38597106933594
1666221173.308152,365,-128.2593536376953
1666221180.036751,366,-0.6933854222297668
1666221186.739472,367,-125.13157653808594
1666221193.424958,368,-115.62408447265625
1666221200.103382,369,-0.5227590799331665
1666221206.833744,370,-118.91671752929688
1666221213.564123,371,-225.72727966308594
1666221220.262852,372,-1.3654091358184814
1666221227.011204,373,-246.855712890625
1666221233.752001,374,-251.6317901611328
1666221240.438167,375,-125.31430053710938
1666221247.154478,376,-119.60202026367188
1666221253.873578,377,-127.64716339111328
1666221260.542818,378,-118.73001098632812
1666221267.256331,379,-125.2117919921875
