Wall time,Step,Value
1666235847.05757,0,-864.43310546875
1666235853.720779,1,-1664.16015625
1666235860.390724,2,-783.9380493164062
1666235867.061565,3,-1302.2181396484375
1666235873.742002,4,-874.7020263671875
1666235883.5981,5,-1305.1124267578125
1666235892.904518,6,-1602.3055419921875
1666235902.041011,7,-1557.7666015625
1666235911.329074,8,-1573.4466552734375
1666235920.678311,9,-1090.068603515625
1666235930.059057,10,-1058.992919921875
1666235939.381857,11,-1545.08447265625
1666235948.522448,12,-1358.7738037109375
1666235957.777676,13,-761.7366333007812
1666235967.099452,14,-1624.3951416015625
1666235976.398747,15,-1091.86181640625
1666235985.820115,16,-1064.47705078125
1666235995.133267,17,-894.314697265625
1666236004.487204,18,-977.9027099609375
1666236013.936598,19,-1081.88525390625
1666236023.143529,20,-1165.9573974609375
1666236032.353372,21,-776.1775512695312
1666236041.653708,22,-1184.5838623046875
1666236051.165648,23,-1251.689697265625
1666236060.600894,24,-1069.6923828125
1666236070.036951,25,-1288.257568359375
1666236079.342365,26,-782.17041015625
1666236088.65474,27,-1753.843994140625
1666236098.036777,28,-1788.375732421875
1666236107.58856,29,-871.7059936523438
1666236117.027899,30,-1177.7813720703125
1666236126.478982,31,-1163.119384765625
1666236135.840024,32,-1685.4095458984375
1666236145.303421,33,-1341.730712890625
1666236154.581456,34,-1707.4962158203125
1666236163.828091,35,-1352.848388671875
1666236173.059977,36,-1064.7442626953125
1666236182.333104,37,-874.6007080078125
1666236191.601426,38,-873.3368530273438
1666236201.0451,39,-1150.294677734375
1666236210.591802,40,-897.4144897460938
1666236220.160615,41,-1617.0006103515625
1666236229.574256,42,-1077.3709716796875
1666236238.890407,43,-1277.200439453125
1666236248.277618,44,-1782.1224365234375
1666236258.010847,45,-972.7808227539062
1666236267.479174,46,-1180.904541015625
1666236276.96459,47,-1582.4097900390625
1666236286.411318,48,-1068.5972900390625
1666236295.893827,49,-1556.3218994140625
1666236306.316834,50,-2.580687999725342
1666236316.736449,51,-121.2033462524414
1666236327.13987,52,-120.70575714111328
1666236337.429737,53,-115.7152328491211
1666236347.701773,54,-353.81365966796875
1666236358.178565,55,-0.9657257199287415
1666236368.294326,56,-114.51942443847656
1666236378.491574,57,-126.75902557373047
1666236388.654469,58,-378.342529296875
1666236398.941694,59,-238.44752502441406
1666236409.428964,60,-122.40061950683594
1666236419.667643,61,-115.7983627319336
1666236430.171977,62,-126.1244888305664
1666236440.573866,63,-216.0063018798828
1666236451.021676,64,-116.94869995117188
1666236461.319401,65,-119.05805206298828
1666236471.610656,66,-120.4324951171875
1666236481.895645,67,-240.2054443359375
1666236492.138495,68,-115.20050811767578
1666236502.512098,69,-120.92924499511719
1666236512.659649,70,-243.42649841308594
1666236523.076328,71,-123.73179626464844
1666236533.290645,72,-223.38357543945312
1666236543.469071,73,-227.09437561035156
1666236553.703101,74,-341.9245300292969
1666236563.980327,75,-117.2536849975586
1666236574.297322,76,-227.0113525390625
1666236584.662335,77,-330.7359619140625
1666236594.885821,78,-125.00118255615234
1666236605.176405,79,-1.0034234523773193
1666236615.559379,80,-121.46630096435547
1666236625.683579,81,-124.63514709472656
1666236635.891779,82,-226.9192657470703
1666236646.013333,83,-127.20394897460938
1666236656.254013,84,-3.5323879718780518
1666236666.453562,85,-2.013611078262329
1666236676.677744,86,-128.29029846191406
1666236686.910832,87,-123.81771850585938
1666236697.339923,88,-1.0972695350646973
1666236707.699538,89,-116.27032470703125
1666236717.961694,90,-237.9076385498047
1666236728.133627,91,-118.66917419433594
1666236738.324605,92,-124.42106628417969
1666236748.503627,93,-118.71046447753906
1666236758.703914,94,-306.6715393066406
1666236768.892455,95,-117.52765655517578
1666236779.093557,96,-128.12049865722656
1666236789.524472,97,-124.63980102539062
1666236800.03927,98,-229.1839599609375
1666236810.285091,99,-318.9129638671875
1666236820.710193,100,-1.0123423337936401
1666236831.239201,101,-122.91139221191406
1666236841.610918,102,-320.2172546386719
