Wall time,Step,Value
1666218966.543868,0,-1667.99072265625
1666218973.183882,1,-1531.3905029296875
1666218979.828018,2,-886.7120971679688
1666218986.478785,3,-1497.3609619140625
1666218993.133101,4,-896.5426635742188
1666219000.589457,5,-1718.08984375
1666219007.699291,6,-1294.037109375
1666219014.765483,7,-1327.5811767578125
1666219021.830661,8,-977.9288330078125
1666219028.913708,9,-1065.0333251953125
1666219036.04065,10,-1615.978515625
1666219043.137374,11,-1566.9873046875
1666219050.259161,12,-1625.135498046875
1666219057.262875,13,-1168.5748291015625
1666219064.337306,14,-1373.0936279296875
1666219071.548761,15,-1263.8753662109375
1666219078.743539,16,-622.6175537109375
1666219085.88429,17,-1319.157470703125
1666219092.974926,18,-1431.41943359375
1666219100.144139,19,-1073.1573486328125
1666219107.296247,20,-1470.6395263671875
1666219114.468235,21,-1482.670166015625
1666219121.751271,22,-1708.527587890625
1666219128.913303,23,-869.6201171875
1666219136.008342,24,-1437.466796875
1666219143.060469,25,-857.7965087890625
1666219150.134639,26,-879.0611572265625
1666219157.356926,27,-994.8148803710938
1666219164.54218,28,-965.2681884765625
1666219171.794946,29,-1515.49609375
1666219178.993344,30,-1190.511962890625
1666219186.213446,31,-992.3980712890625
1666219193.39736,32,-1597.991943359375
1666219200.537907,33,-790.5375366210938
1666219207.681655,34,-1393.4957275390625
1666219214.826792,35,-1163.476318359375
1666219222.002659,36,-1455.17236328125
1666219229.215405,37,-1425.0667724609375
1666219236.518208,38,-1172.6995849609375
1666219243.766146,39,-1290.6927490234375
1666219250.890984,40,-914.8905639648438
1666219257.962171,41,-1332.522216796875
1666219265.127413,42,-966.4656372070312
1666219272.226052,43,-1538.6072998046875
1666219279.395623,44,-1479.853515625
1666219286.485768,45,-1172.6776123046875
1666219293.603859,46,-990.7097778320312
1666219300.783095,47,-1705.432861328125
1666219307.95343,48,-757.82373046875
1666219315.180711,49,-1611.281982421875
1666219322.574923,50,-235.75914001464844
1666219330.045569,51,-114.59696960449219
1666219337.455394,52,-238.23159790039062
1666219344.832417,53,-116.00314331054688
1666219352.347145,54,-244.2363739013672
1666219359.830007,55,-317.9947509765625
1666219367.179139,56,-1.104753851890564
1666219374.531312,57,-116.53099822998047
1666219381.8807,58,-123.45401763916016
1666219389.266137,59,-121.28473663330078
1666219396.63475,60,-124.02168273925781
1666219403.97298,61,-358.2432861328125
1666219411.410238,62,-224.29823303222656
1666219418.72028,63,-124.55597686767578
1666219426.075294,64,-346.9759826660156
1666219433.440633,65,-126.33271789550781
1666219440.771832,66,-336.99957275390625
1666219448.122783,67,-129.88307189941406
1666219455.550211,68,-313.55218505859375
1666219463.013613,69,-243.3566436767578
1666219470.429558,70,-123.66974639892578
1666219477.870457,71,-127.60491943359375
1666219485.254031,72,-125.00196075439453
1666219492.527089,73,-125.7322998046875
1666219499.952423,74,-114.52841186523438
1666219507.3052,75,-248.1408233642578
1666219514.648634,76,-250.05960083007812
1666219522.046308,77,-121.29344940185547
1666219529.46332,78,-117.52249145507812
1666219536.91998,79,-126.8243408203125
1666219544.271413,80,-264.2375183105469
1666219551.584153,81,-116.92691040039062
1666219558.928911,82,-297.67657470703125
1666219566.215543,83,-271.4250183105469
1666219573.544706,84,-1.7780354022979736
1666219580.920446,85,-119.182373046875
1666219588.29507,86,-118.97660827636719
1666219595.587705,87,-128.8730926513672
1666219602.898399,88,-119.93562316894531
1666219610.338972,89,-245.00204467773438
1666219617.656105,90,-123.73311614990234
1666219625.04895,91,-236.04400634765625
1666219632.501922,92,-119.05082702636719
1666219639.854807,93,-226.6104736328125
1666219647.184603,94,-238.7287139892578
1666219654.504495,95,-118.98944091796875
1666219661.831839,96,-0.41185128688812256
1666219669.204264,97,-239.06478881835938
1666219676.67754,98,-1.2768535614013672
1666219684.065419,99,-237.2681427001953
1666219691.472505,100,-357.0462951660156
1666219698.790951,101,-2.1023268699645996
1666219706.160221,102,-116.64503479003906
1666219713.602422,103,-117.13208770751953
1666219720.937661,104,-363.82440185546875
1666219728.323762,105,-119.16764831542969
1666219735.663794,106,-231.5439910888672
1666219743.043009,107,-117.21826171875
1666219750.429078,108,-123.62226104736328
1666219757.889637,109,-127.22299194335938
1666219765.283862,110,-1.1142418384552002
1666219772.680793,111,-115.32852935791016
1666219780.124024,112,-261.8892517089844
1666219787.559692,113,-125.71044158935547
1666219795.089513,114,-230.03375244140625
1666219802.50544,115,-125.63396453857422
1666219809.88004,116,-223.9888153076172
1666219817.190931,117,-115.48414611816406
1666219824.690014,118,-236.77601623535156
